,ROLL NO.,MCS401,M401,CS401,CS402,CS403,HU481,M(CS)491 /MCS491,CS491,CS492,CS493,SGPA3,SGPA4,YGPA,DGPA,RESULT
,11500113001,B (14),F (8),B (21),C (24),C (24),B (14),A (8),E (18),E (18),E (18),7.03,6.42,6.75,0,XP
,11500113002,O (20),E (36),O (30),A (32),A (32),E (18),E (9),O (20),O (20),O (20),9.1,9.12,9.11,0,P
,11500113003,A (16),A (32),B (21),A (32),C (24),A (16),E (9),E (18),E (18),O (20),7.93,7.92,7.93,0,P
,11500113004,B (14),A (32),C (18),C (24),D (20),A (16),A (8),A (16),E (18),A (16),7.07,7,7.04,0,P
,11500113005,B (14),C (24),D (15),B (28),F (8),A (16),E (9),E (18),E (18),O (20),7.93,6.54,7.27,0,XP
,11500113006,B (14),A (32),E (27),A (32),C (24),B (14),A (8),A (16),E (18),E (18),7.41,7.81,7.6,0,P
,11500113007,C (12),B (28),B (21),B (28),C (24),A (16),A (8),E (18),O (20),A (16),8.03,7.35,7.71,0,P
,11500113008,C (12),C (24),C (18),D (20),D (20),B (14),A (8),A (16),A (16),A (16),6.03,6.31,6.16,0,P
,11500113009,A (16),A (32),E (27),B (28),C (24),B (14),E (9),A (16),E (18),E (18),7.66,7.77,7.71,0,P
,11500113010,O (20),E (36),E (27),A (32),A (32),O (20),E (9),O (20),O (20),O (20),8.72,9.08,8.89,0,P
,11500113011,E (18),A (32),E (27),B (28),B (28),E (18),E (9),O (20),O (20),O (20),8.28,8.46,8.36,0,P
,11500113012,O (20),O (40),E (27),E (36),A (32),E (18),E (9),E (18),O (20),O (20),9.14,9.23,9.18,0,P
,11500113013,A (16),A (32),C (18),A (32),F (8),A (16),O (10),A (16),A (16),A (16),6.69,6.92,6.8,0,XP
,11500113014,C (12),C (24),C (18),C (24),D (20),B (14),E (9),A (16),E (18),A (16),7.1,6.58,6.85,0,XP
,11500113015,B (14),E (36),E (27),B (28),E (36),E (18),E (9),O (20),O (20),O (20),8.79,8.77,8.78,0,P
